company_name,industry,contact_person,phone,email,area,lead_type,lead_source,website,facebook,instagram,notes
Toothless Coffee,Cafe,,+6016 209 8483,toothlesscoffee@gmail.com,Petaling Jaya,Cafe,Website,https://toothlesscoffee.com/contact-us/,,,Public phone and email from official website contact page.
Craftsmen Cafe & Restaurant,Cafe,,+603 7887 1809,craftsmen369@gmail.com,Damansara,Cafe,Website,https://craftsmencafe.com/contact-us.html,,,Public phone and email from official website contact page.
Puei Chee Kindergarten,Kindergarten,,+6011 5647 5642,pueichee.kindergarten@gmail.com,Petaling Jaya,School,Website,https://pueichee.com/contact-us/,,,Public phone and email from official website contact page.
SMK Seksyen 7 Shah Alam,School,,+603 5511 9328,bea8648@moe.edu.my,Shah Alam,School,Website,https://smks7.edu.my/,,,Public phone and email from official school website.
SBC Kindergarten Danau Kota,Kindergarten,,+603 4021 9255,kalasbc@yahoo.com,Setapak,School,Website,https://www.sbckindergarten.com/contact,,,Public phone and email from official website contact page.
TotalChild Preschool,Kindergarten,,+6017 499 1699,admin@totalchild.com.my,Kuala Lumpur,School,Website,https://totalchild.com.my/,,,Public phone and email from official website contact section.
KL International Kidsclub,Kindergarten,,+603 2141 2153,info.klkidsclub@gmail.com,Kuala Lumpur,School,Website,https://www.klkidsclub.com.my/contact/,,,Public office line and email from official website contact page.
M World Hotel,Hotel,,+603 7681 7777,info@mworldhotel.com.my,Petaling Jaya,Hotel,Website,https://www.mworldhotel.com.my/contact-us/,,,Public general enquiry line and email from official hotel website.
The Pearl Kuala Lumpur,Hotel,,+603 7983 1111,enquiry@pearl.com.my,Kuala Lumpur,Hotel,Website,https://www.pearl.com.my/contact-us/,,,Public general line and email from official hotel website.
Ultimateteamworks,Event Planner,,+603 5632 3612,info@ultimateteamworks.com,Petaling Jaya,Event Planner,Website,https://ultimateteamworks.com/contact/,,,Public office line and email from official website contact page.
Luxemotion Event Management,Event Planner,,+60 12-288 7132,enquiries@luxemotion.com.my,Subang Jaya,Event Planner,Website,https://luxemotion.com.my/contact-us/,,,Public office line and email from official website contact page.
Magnet Group Sdn Bhd,Event Management Company,,+603 7734 1276,connect@themagnetgroup.com.my,Damansara,Event Planner,Website,https://www.themagnetgroup.com.my/contact-us,,,Public office line and email from official website contact page.
Jalakx Sdn Bhd,Event Management Company,,+603 7773 1660,info@jalakx.com.my,Petaling Jaya,Event Planner,Website,https://jalakx.com.my/contact-us/,,,Public office line and email from official website contact page.
Creative In Action International Sdn. Bhd.,Event Management Company,,+603-5634 7134,hello@cia-malaysia.com.my,Petaling Jaya,Event Planner,Website,https://cia-malaysia.com.my/,,,Public office line and email from official website contact section.
The Humble Food Company,Catering Company,,03-7494 0737,,Petaling Jaya,Catering,Website,https://www.thehumblefoodco.my/locate-us/,,,Public phone from official website locate-us page. No email found.
Tuk Tuk Catering,Catering Company,,+6016-7244391,esales@tuktuk.com.my,Petaling Jaya,Catering,Website,https://tuktuk.com.my/,,,Public sales phone and email from official website footer.
Perfect Match Catering & Event PLT,Catering Company,,+603-8011 9452,inquiry@perfectmatchcateringservices.com,Subang Jaya,Catering,Website,https://www.perfectmatchcateringservices.com/contact-us.php,,,Public office line and email from official website contact page.
Great Value Catering Services,Catering Company,,1800-38-2668,,Kuala Lumpur,Catering,Website,https://greatvalue.my/,,,Public call line from official website home page. No email reliably captured.
W Kuala Lumpur,Hotel,,+60-3-2786 8888,reservations.wkualalumpur@whotels.com,Kuala Lumpur,Hotel,Website,https://www.marriott.com/en-us/hotels/kulwh-w-kuala-lumpur/rooms/suites/,,,Public hotel line and reservation email from official Marriott pages.
Sunway Putra Hotel Kuala Lumpur,Hotel,,+60 3 4040 9888,spkl.enquiry@sunwayhotels.com,Kuala Lumpur,Hotel,Website,https://www.sunwayhotels.com/sunway-putra/facilities/hotel-policies-and-house-rules,,,Public general line and email from official hotel policy/contact pages.
M Resort Hotel Kuala Lumpur,Hotel,,+603 7932 6582,info@mresort-hotel.com.my,Damansara,Hotel,Website,https://mresort-hotel.com.my/contact-us/,,,Public general line and email from official hotel contact page.
Seri Pacific Hotel Kuala Lumpur,Hotel,,+60-3-4042 5555,resv@seripacific.com,Kuala Lumpur,Hotel,Website,https://www.seripacifichotel.com/contacts/,,,Public general booking line and email from official hotel contacts page.
Kopenhagen Coffee,Cafe,,+603-97713316,retail@kopenhagencoffee.com,Bangsar,Cafe,Website,https://www.kopenhagencoffee.com/pages/contact-us,,,Public cafe line and email from official contact page.
The Buttercake Factory,Cafe,,016 461 5500,,Mont Kiara,Cafe,Website,https://www.buttercakefactory.com/contact,,,Public phone from official contact page. No email found.
JoyKids International Preschool,Kindergarten,,+603 7728 9955,enquiry@joykids.my,Petaling Jaya,School,Website,https://www.joykids.my/contact/,,,Public office line and email from official contact page.
KindyHaus Baby & Child Care Centre,Kindergarten,,+6016-337 1732,info@kindyhaus.com,Damansara,School,Website,https://www.kindyhaus.com/contact/,,,Public business line and email from official contact page.
Belle & Russell Kindergarten,Kindergarten,,012 517 8689,enquiry@belleandrussell.edu.my,Damansara,School,Website,https://belleandrussell.edu.my/contact-us/,,,Public phone and email from official contact page.
Capers Montessori,Kindergarten,,+6012-2002862,capersmontessori@gmail.com,Damansara,School,Website,https://www.capersmontessori.com/contact-us,,,Public phone and email from official contact page.
Little PORTMAN,Kindergarten,,+6011-1687 6856,information@portman.edu.my,Damansara,School,Website,https://www.littleportman.edu.my/kota-damansara/,,,Public phone and email from official branch page.
TLWH Corporate,Corporate Gift Company,,603-7880 8833,cs@tlwh.com.my,Petaling Jaya,Gift Company,Website,https://tlwh.com.my/contact/,,,Public office line and email from official contact page.
Urban Innov Resources,Corporate Gift Company,,+603 6731 0417,[email protected],Damansara,Gift Company,Website,https://urbaninnov.com.my/,,,Public office line and email from official website homepage.
Storming Gifts,Corporate Gift Company,,017-628 0937,sales@storminggifts.com,Puchong,Gift Company,Website,https://www.storminggifts.com/about-us/,,,Public business line and email from official about page.
Gopeng Berhad,Corporate Office,,603-2287 7577,gopeng@gopeng.com.my,Bangsar,Corporate,Website,https://gopeng.com.my/contact-us/,,,Public office line and email from official corporate contact page.
Genting Malaysia Berhad,Corporate Office,,+603-2178 2288,ir.genm@gentingmalaysia.com,Kuala Lumpur,Corporate,Website,https://www.gentingmalaysia.com/contact_us/,,,Public registered office line and email from official corporate contact page.
Shockwave Sdn Bhd,Event Planner,,+6016-212 8268,info@shockwave.my,Kuala Lumpur,Event Planner,Website,https://www.shockwave.my/contactus,,,Public event contact phone and email from official website contact page.
ZAI EVENT SDN. BHD.,Event Planner,,03-5525 2255,,Shah Alam,Event Planner,Website,https://zaisrigemilang.com/contact/,,,Public office line from official contact page. No email found.
Great Creation Events,Event Planner,,019-250 3090,greatdreamscreation@gmail.com,Shah Alam,Event Planner,Website,https://www.greatcreation.com.my/contact-us/,,,Public phone and email from official contact page.
OK Canopy & Event Services,Event Planner,,+6012-228 8745,otkcatering@gmail.com,Puchong,Event Planner,Website,https://www.okcanopy.com.my/contactus/,,,Public phone and email from official contact page.
Pro Venus Event Planner,Event Planner,,+60 3 8021 5136,info@provenusevent.com,Subang Jaya,Event Planner,Website,https://www.provenusevent.com/contact/,,,Public office line and email from official contact page.
Wonderfest Event Sdn. Bhd.,Wedding,,+6016-254 8761,wonderfestmy@gmail.com,Petaling Jaya,Wedding,Website,https://www.wonderfest.my/,,,Public phone and email from official website booking section.
Amimy Kitchen Catering,Catering Company,,011-63301068,amimy06@gmail.com,Shah Alam,Catering,Website,https://amimykitchen.my/,,,Public business phone and email from official website contact section.
Madam Leela's,Catering Company,,016 666 4645,info@madamleelas.com,Shah Alam,Catering,Website,https://www.madamleelas.com/,,,Public catering phone and email from official website contact section.
Sidah Catering Services,Catering Company,,013-388 9018,,Shah Alam,Catering,Website,https://sidah.com.my/contact/,,,Public phone from official contact page. No email found.
Hot Piper Specialty Catering Sdn Bhd,Catering Company,,+6012-505 8007,admin@hotpiper.com.my,Shah Alam,Catering,Website,https://hotpiper.com.my/contact/,,,Public phone and email from official contact page.
Presense Sdn Bhd,Corporate Gift Company,,+60351 2006 95,sales@presense.com.my,Shah Alam,Gift Company,Website,https://presense.com.my/,,,Public phone and email from official website footer.
3 BIRDS SDN BHD,Corporate Gift Company,,6019-4881020,sales@3birds.com.my,Subang Jaya,Gift Company,Website,https://3birds.my/,,,Public call and email from official website footer.
FactoSupplies,Corporate Gift Company,,+603 3393 5527,sales1@factohub.com,Shah Alam,Gift Company,Website,https://factosupplies.com/,,,Public phone and email from official website contact section.
Carsome,Corporate Office,,1-800-82-3388,info@carsome.my,Damansara,Corporate,Website,https://www.carsome.my/contact_us,,,Public general inquiry phone and email from official corporate contact page.
Sun Bear Montessori,Kindergarten,,6012 578 5835,,Kepong,School,Website,https://www.sunbearmontessori.com/contact-us/,,,Public WhatsApp business number from official contact page. No email found.
Little Inventor Pre-School,Kindergarten,,+016-332 8413,littleinventorhq@yahoo.com.my,Kepong,School,Website,https://littleinventor.edu.my/contact-us/,,,Public phone and email from official contact page.
Exploria Kindergarten,Kindergarten,,+6011 2545 8955,exploria.my@gmail.com,Setapak,School,Website,https://www.exploriakindergarten.com/,,,Public phone and email from official website contact section.
Sparkles Montessori Mont Kiara,Kindergarten,,0362061008,nancy@sparklesmontessori.com.my,Mont Kiara,School,Directory,http://www.sparklesmontessori.com.my/,,,Public phone and email from Kindergarten Malaysia directory listing.
Living Montessori,Kindergarten,,+603 6203 3038,info@thejunioracademy.com.my,Mont Kiara,School,Website,https://www.livingmontessori.com.my/contact-us/,,,Public main line and email from official contact page.
Zecon Hotel,Hotel,,+60 3-9174 9901,reservation.online@myzecon.com,Cheras,Hotel,Website,https://www.zeconhotel.com/en/contactus,,,Public phone and email from official hotel contact page.
Timez Business Hotel,Hotel,,+603 9082 1002,info@timezbusinesshotel.com,Cheras,Hotel,Website,https://timezbusinesshotel.com/contactus.php,,,Public phone and email from official hotel contact page.
Sofitel Kuala Lumpur Damansara,Hotel,,+603 2720 6688,HA123@SOFITEL.COM,Damansara,Hotel,Website,https://www.sofitel-kualalumpur-damansara.com/contact-us/,,,Public phone and email from official hotel contact page.
Imperial Regency Suites Kuala Lumpur,Hotel,,+603 2201 5888,reservation@imperialregencysuites.com,Bangsar,Hotel,Website,https://www.imperialregencysuites.com/contact-us.html,,,Public reservation line and email from official hotel contact page.
De Elements Hotel Damansara,Hotel,,+603-7724 3022,reservation.damansara@deelementshotel.com,Damansara,Hotel,Website,https://www.deelementshotel.com/contact-us/,,,Public phone and email from official hotel contact page.
COZO Cafe,Cafe,,+6011-1119 4914,cozogroup@gmail.com,Cheras,Cafe,Website,https://cozo.com.my/cozo-cafe-cheras/,,,Public group contact listed on official COZO Cafe page.
EQ Kuala Lumpur,Hotel,,+60327897777,info@kul.equatorial.com,Kuala Lumpur,Hotel,Website,https://www.eqkualalumpur.com/contact/,,,Public phone and email from official hotel contact section.
"Hotel Stripes Kuala Lumpur, Autograph Collection",Hotel,,+60320380000,,Kuala Lumpur,Hotel,Website,https://www.hotelstripes.com/,,,Public phone from official hotel page. No email found.
Garden International School,International School,,(+603) 6209 6888,enquiry@gardenschool.edu.my,Mont Kiara,School,Website,https://www.gardenschool.edu.my/,,,Public phone and email from official school contact section.
Mont'Kiara International School,International School,,+603-7800 0099,,Mont Kiara,School,Website,https://www.mkis.edu.my/,,,Public phone from official website footer. No email found.
Sunway Berhad,Corporate Conglomerate,,+603-5639 8889,,Subang Jaya,Corporate,Website,https://www.sunway.com.my/,,,Public HQ phone from official website footer. No email found.
Axiata Group Berhad,Telecommunications Group,,+603 2263 8888,,Kuala Lumpur,Corporate,Website,https://www.axiata.com/,,,Public HQ phone from official website footer. No email found.
UEM Sunrise Berhad,Property Developer,,+6012-299 9333,customerservice@uemsunrise.com,Kuala Lumpur,Corporate,Website,https://www.uemsunrise.com/contact/,,,Public hotline and email from official website footer.
Berjaya Corporation Berhad,Corporate Conglomerate,,+603-2149 1999,,Kuala Lumpur,Corporate,Website,https://www.berjaya.com/contact-us.htm,,,Public general line from official website. No email found.
Mah Sing Group Berhad,Property Developer,,+603 9221 8888 / +603 9221 6888,info@mahsing.com.my,Kuala Lumpur,Corporate,Website,https://www.mahsing.com.my/contact-us/,,,Public HQ line and email from official contact page.
PETRONAS,Energy Company,,+60 (3) 2051 5000,media@petronas.com,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public general line and media email from official PETRONAS global directory.
PETRONAS Dagangan Berhad,Fuel Retail Company,,1-300-88-8181,,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public Mesralink line from official PETRONAS global directory. No email found.
PETRONAS Lubricants International,Lubricants Company,,+60 (3) 2301 4000,,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public phone from official PETRONAS global directory. No email found.
Setel Ventures Sdn Bhd,Digital Mobility Platform,,,hello@setel.com,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public email from official PETRONAS global directory. No phone found.
M+ by PETRONAS,Digital Mobility Platform,,+60 (3) 2331 2056,contactmplus@petronas.com,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public phone and email from official PETRONAS global directory.
PETRONAS Media Communications,Corporate Office,,,media@petronas.com,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public media enquiry email from official PETRONAS global directory. No phone found.
PETRONAS Procurement Platform Systems,Corporate Office,,,supplier.servicedesk@petronas.com,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public supplier service desk email from official PETRONAS global directory. No phone found. Area Unverified.
PETRONAS Marine LNG Fuel,Corporate Office,,,rafe.ramli@petronas.com,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public LNG fuel contact email from official PETRONAS global directory. No phone found. Area Unverified.
"PETRONAS Marine Business Development (Global)",Corporate Office,,,firdaus_kamilrudin@petronas.com,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public business development email from official PETRONAS global directory. No phone found. Area Unverified.
"PETRONAS Marine Commercial (Asia)",Corporate Office,,,norazhan@petronas.com,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public commercial contact email from official PETRONAS global directory. No phone found. Area Unverified.
PETRONAS Dagangan Mesra Loyalty Programme,Corporate Office,,1-300-22-8888,,Kuala Lumpur,Corporate,Website,https://www.petronas.com/global-directory-contact-us,,,Public loyalty programme line from official PETRONAS global directory. No email found.
Public Bank Berhad,Banking Group,,03-21708000,customerservice@publicbank.com.my,Kuala Lumpur,Corporate,Website,https://www.pbebank.com/Personal-Banking/Help-Support/Contact-Us.aspx,,,Public customer service phone and email from official contact page. Area Unverified.
Public Bank Credit Card Centre,Banking Services,,03-21768555,,Kuala Lumpur,Corporate,Website,https://www.pbebank.com/Personal-Banking/Help-Support/Contact-Us.aspx,,,Public credit card support line from official contact page. No email found. Area Unverified.
Maxis Berhad,Telecommunications Company,,123,,Kuala Lumpur,Corporate,Website,https://www.maxis.com.my/,,,Public customer service line from official website. No email found. Area Unverified.
Printcious Gifts,Corporate Gift Company,,+6016.400.1688,,Kuala Lumpur,Gift Company,Website,https://www.printcious.com/my,,,Public WhatsApp business number from official website footer. No email found. Area Unverified.
